Ticker,Close,ATR,RSI,利確確率,損切確率,AI判定
1518.T,2301.0,43.9,51.2,18.1%,20.4%,⏸️ WAIT
2121.T,3555.0,97.9,59.0,9.6%,29.5%,⏸️ WAIT
2269.T,4371.0,89.2,61.4,19.2%,20.0%,⏸️ WAIT
2433.T,1299.0,39.3,53.8,12.4%,15.1%,⏸️ WAIT
2810.T,3839.0,69.9,59.1,17.5%,28.7%,⏸️ WAIT
3097.T,5790.0,178.6,54.3,11.1%,28.8%,⏸️ WAIT
3105.T,2280.0,75.7,46.5,20.7%,27.7%,⏸️ WAIT
3107.T,3727.0,84.1,60.4,11.2%,18.9%,⏸️ WAIT
3176.T,1141.0,36.6,48.4,21.4%,27.7%,⏸️ WAIT
4188.T,1227.0,37.6,57.5,19.7%,23.2%,⏸️ WAIT
4205.T,2447.0,67.5,49.4,14.8%,37.2%,⏸️ WAIT
4324.T,3630.0,110.6,56.8,11.4%,27.4%,⏸️ WAIT
4432.T,3235.0,97.2,52.8,17.1%,30.9%,⏸️ WAIT
4527.T,2904.5,70.1,61.7,19.7%,22.3%,⏸️ WAIT
4634.T,5040.0,112.1,48.9,22.5%,19.5%,⏸️ WAIT
4689.T,521.5,15.0,59.6,12.8%,24.4%,⏸️ WAIT
4733.T,8260.0,209.4,56.7,14.2%,19.8%,⏸️ WAIT
4768.T,3527.0,79.9,57.5,11.5%,25.0%,⏸️ WAIT
4816.T,2975.0,101.0,59.7,13.5%,22.0%,⏸️ WAIT
5076.T,2765.0,70.7,48.3,20.3%,21.1%,⏸️ WAIT
5401.T,697.5,18.2,51.4,12.8%,27.1%,⏸️ WAIT
5463.T,1769.0,37.0,49.1,11.0%,19.6%,⏸️ WAIT
5702.T,1860.0,63.1,50.0,13.5%,22.9%,⏸️ WAIT
5831.T,3651.0,90.9,56.5,24.0%,20.4%,⏸️ WAIT
5832.T,3537.0,82.1,49.3,13.9%,18.8%,⏸️ WAIT
5901.T,4530.0,83.5,60.4,20.9%,21.8%,⏸️ WAIT
6178.T,2497.0,64.0,60.0,11.8%,26.4%,⏸️ WAIT
6301.T,7576.0,196.1,62.5,16.5%,18.5%,⏸️ WAIT
6432.T,7620.0,227.5,54.2,15.3%,22.5%,⏸️ WAIT
6448.T,4715.0,115.9,56.2,13.8%,19.3%,⏸️ WAIT
6473.T,2201.5,62.9,53.6,18.6%,25.5%,⏸️ WAIT
6592.T,1751.0,37.0,46.0,18.9%,30.1%,⏸️ WAIT
6724.T,3151.0,79.4,57.2,16.5%,18.8%,⏸️ WAIT
6737.T,3125.0,71.6,57.2,13.7%,18.2%,⏸️ WAIT
6923.T,3674.0,72.9,50.9,15.4%,29.0%,⏸️ WAIT
6960.T,12140.0,337.1,56.3,22.2%,28.6%,⏸️ WAIT
6966.T,955.0,28.9,47.2,23.3%,17.6%,⏸️ WAIT
7167.T,1703.0,42.6,51.9,18.5%,15.3%,⏸️ WAIT
7180.T,1612.0,39.5,61.2,12.9%,16.3%,⏸️ WAIT
7182.T,3341.0,87.6,50.7,18.2%,22.8%,⏸️ WAIT
7186.T,1926.5,49.9,48.6,15.3%,12.8%,⏸️ WAIT
7189.T,4939.0,135.1,54.0,18.4%,19.2%,⏸️ WAIT
7267.T,1695.0,46.2,47.7,21.5%,28.6%,⏸️ WAIT
7282.T,5480.0,151.9,56.9,21.2%,22.8%,⏸️ WAIT
7296.T,4160.0,75.7,47.8,20.2%,21.6%,⏸️ WAIT
7327.T,2647.0,66.9,61.0,11.0%,18.9%,⏸️ WAIT
7337.T,2396.0,54.2,50.2,11.9%,14.8%,⏸️ WAIT
7350.T,7920.0,261.4,45.1,15.9%,24.1%,⏸️ WAIT
7380.T,2642.0,76.5,51.3,14.4%,14.4%,⏸️ WAIT
7513.T,1441.0,39.5,64.3,20.7%,24.3%,⏸️ WAIT
7550.T,11695.0,342.5,49.9,9.1%,18.9%,⏸️ WAIT
7552.T,3655.0,123.2,55.6,16.0%,26.5%,⏸️ WAIT
7752.T,1654.0,34.6,61.2,11.3%,21.2%,⏸️ WAIT
8015.T,7680.0,239.7,58.2,18.2%,21.0%,⏸️ WAIT
8020.T,2280.0,49.6,62.7,7.8%,18.4%,⏸️ WAIT
8022.T,4095.0,116.4,64.3,15.0%,23.2%,⏸️ WAIT
8078.T,1934.0,39.0,62.8,15.8%,25.1%,⏸️ WAIT
8117.T,2200.0,61.4,55.6,23.4%,31.1%,⏸️ WAIT
8304.T,3406.0,80.4,51.6,12.0%,19.1%,⏸️ WAIT
8306.T,3711.0,87.6,54.2,11.5%,18.6%,⏸️ WAIT
8308.T,2542.5,69.0,55.1,13.7%,20.5%,⏸️ WAIT
8309.T,1782.0,40.9,58.1,10.0%,24.2%,⏸️ WAIT
8316.T,6976.0,162.6,53.4,15.1%,17.6%,⏸️ WAIT
8331.T,2815.5,76.1,48.0,9.5%,22.2%,⏸️ WAIT
8334.T,2890.0,72.2,60.0,11.0%,17.1%,⏸️ WAIT
8336.T,2829.0,67.6,51.3,10.5%,14.7%,⏸️ WAIT
8341.T,3997.0,104.9,56.0,16.8%,16.4%,⏸️ WAIT
8346.T,1001.0,27.9,47.8,13.0%,19.2%,⏸️ WAIT
8354.T,7866.0,182.1,54.3,15.2%,16.8%,⏸️ WAIT
8358.T,2965.0,71.4,52.5,21.7%,20.0%,⏸️ WAIT
8359.T,2759.0,66.9,53.4,17.4%,15.7%,⏸️ WAIT
8361.T,8190.0,237.9,48.2,13.8%,14.9%,⏸️ WAIT
8366.T,2877.0,81.1,60.7,11.2%,12.4%,⏸️ WAIT
8367.T,1960.0,54.5,48.0,12.3%,15.7%,⏸️ WAIT
8368.T,2379.0,81.9,52.9,24.8%,16.7%,⏸️ WAIT
8370.T,5140.0,118.6,53.4,17.3%,21.8%,⏸️ WAIT
8377.T,8335.0,238.0,46.7,18.9%,16.7%,⏸️ WAIT
8381.T,2629.0,58.0,48.5,13.6%,18.0%,⏸️ WAIT
8386.T,3090.0,97.5,46.4,25.7%,16.3%,⏸️ WAIT
8411.T,8710.0,220.3,57.1,19.2%,19.0%,⏸️ WAIT
8418.T,3230.0,75.1,50.8,9.7%,15.6%,⏸️ WAIT
8511.T,2496.0,50.5,55.3,13.7%,18.3%,⏸️ WAIT
8522.T,7150.0,222.9,52.3,22.7%,21.0%,⏸️ WAIT
8524.T,1334.0,36.1,51.8,12.3%,29.6%,⏸️ WAIT
8544.T,2878.0,86.4,53.6,18.7%,22.9%,⏸️ WAIT
8550.T,1114.0,38.6,47.8,18.4%,31.6%,⏸️ WAIT
8600.T,1132.0,30.9,50.4,11.0%,21.2%,⏸️ WAIT
8697.T,2233.5,48.1,55.8,21.0%,20.7%,⏸️ WAIT
8725.T,5149.0,116.1,58.3,17.2%,19.9%,⏸️ WAIT
8750.T,1868.0,42.1,54.4,12.3%,26.7%,⏸️ WAIT
8795.T,4873.0,113.9,46.8,21.1%,19.7%,⏸️ WAIT
9147.T,5634.0,138.1,49.9,14.4%,16.8%,⏸️ WAIT
9432.T,168.8,3.1,65.7,16.2%,28.4%,⏸️ WAIT
9502.T,2976.0,84.1,58.3,19.6%,26.2%,⏸️ WAIT
9513.T,4120.0,89.8,63.6,14.6%,29.3%,⏸️ WAIT
9697.T,4310.0,135.1,61.1,19.0%,30.5%,⏸️ WAIT
9706.T,5695.0,124.5,55.4,20.6%,23.1%,⏸️ WAIT
9831.T,699.8,14.6,46.0,14.7%,21.0%,⏸️ WAIT
9934.T,3047.0,66.6,49.8,8.8%,26.6%,⏸️ WAIT
